 2,    7,  0.420,  0.068,   41,  0.150,  0.036,  160,  0.030,  0.013,  170,  0.180,  0.053,  188,  0.130,  0.151,  162,  0.050,  0.017,
 3,    8,  0.480,  0.078,   43,  0.560,  0.133,  164,  0.340,  0.142,  171,  0.190,  0.056,  189,  0.370,  0.430,  166,  0.430,  0.144,
 4,    9,  0.200,  0.032,   44,  0.120,  0.028,  165,  0.930,  0.388,  175,  0.290,  0.086,  193,  0.020,  0.023,  167,  0.630,  0.211,
 5,   14,  0.370,  0.060,   45,  0.930,  0.220,  166,  0.020,  0.008,  176,  0.960,  0.284,  194,  0.240,  0.279,  171,  0.150,  0.050,
 6,   15,  0.990,  0.160,   46,  0.470,  0.111,  169,  0.130,  0.054,  177,  0.690,  0.204,,,,  172,  1.000,  0.336,
 7,   16,  0.900,  0.145,  156,  0.490,  0.116,  170,  0.850,  0.354,  182,  0.400,  0.118,,,,  173,  0.050,  0.017,
 8,   17,  0.030,  0.005,  157,  0.760,  0.180,  171,  0.030,  0.013,  183,  0.420,  0.124,,,,  177,  0.020,  0.007,
 9,   23,  0.190,  0.031,  158,  0.040,  0.009,  176,  0.050,  0.021,  188,  0.020,  0.006,,,,  178,  0.300,  0.101,
 10,   24,  0.870,  0.141,  159,  0.330,  0.078,,,,  189,  0.000,  0.000,,,,  179,  0.020,  0.007,
 11,   25,  0.620,  0.100,  160,  0.050,  0.012,,,,,,,,,,,,,
 12,   32,  0.240,  0.039,,,,,,,,,,,,,,,,
 13,   33,  0.640,  0.103,,,,,,,,,,,,,,,,
 14,   42,  0.030,  0.005,,,,,,,,,,,,,,,,
 15,   43,  0.190,  0.031,,,,,,,,,,,,,,,,
,
,
,
,
N,315,315,315,316,316,316,317,317,317,318,318,318,401,401,401,402,402,402,
 1,  177,  0.010,  0.005,  178,  0.010,  0.007,  160,  0.620,  0.196,  189,  0.150,  0.417,   47,  0.170,  0.043,   82,  0.290,  0.433,
 2,  178,  0.750,  0.381,  179,  0.000,  0.000,  161,  0.230,  0.073,  194,  0.190,  0.528,   48,  0.470,  0.119,   83,  0.080,  0.119,
 3,  179,  0.190,  0.096,  184,  0.380,  0.252,  165,  0.100,  0.032,  195,  0.020,  0.056,   49,  0.600,  0.152,   92,  0.300,  0.448,
 4,  183,  0.150,  0.076,  185,  0.050,  0.033,  166,  0.570,  0.180,,,,   50,  0.600,  0.152,,,,
 5,  184,  0.590,  0.299,  189,  0.030,  0.020,  171,  0.640,  0.203,,,,   51,  1.050,  0.265,,,,
 6,  185,  0.010,  0.005,  190,  0.810,  0.536,  177,  0.330,  0.104,,,,   52,  0.040,  0.010,,,,
 7,  189,  0.120,  0.061,  194,  0.010,  0.007,  183,  0.330,  0.104,,,,   53,  0.600,  0.152,,,,
 8,  190,  0.150,  0.076,  195,  0.220,  0.146,  189,  0.340,  0.108,,,,   72,  0.210,  0.053,,,,
 9,,,,,,,,,,,,,   82,  0.150,  0.038,,,,
 10,,,,,,,,,,,,,   92,  0.070,  0.018,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,403,403,403,404,404,404,405,405,405,406,406,406,407,407,407,408,408,408,
 1,   72,  0.490,  0.137,   73,  0.010,  0.007,   63,  0.080,  0.043,   84,  0.140,  0.070,   95,  0.430,  0.352,   26,  0.120,  0.136,
 2,   73,  0.390,  0.109,   83,  0.240,  0.162,   73,  0.440,  0.238,   85,  0.270,  0.134,   96,  0.070,  0.057,   27,  0.000,  0.000,
 3,   82,  0.610,  0.171,   84,  0.000,  0.000,   74,  0.090,  0.049,   94,  0.490,  0.244,  105,  0.280,  0.230,   34,  0.420,  0.477,
 4,   83,  0.520,  0.146,   93,  0.520,  0.351,   83,  0.220,  0.119,   95,  0.500,  0.249,  106,  0.300,  0.246,   35,  0.120,  0.136,
 5,   92,  0.630,  0.176,   94,  0.090,  0.061,   84,  0.580,  0.314,  104,  0.610,  0.303,  114,  0.010,  0.008,   65,  0.220,  0.250,
 6,   93,  0.500,  0.140,  102,  0.010,  0.007,   94,  0.350,  0.189,,,,  115,  0.130,  0.107,,,,
 7,  102,  0.390,  0.109,  103,  0.610,  0.412,  103,  0.030,  0.016,,,,,,,,,,
 8,  103,  0.040,  0.011,,,,  104,  0.060,  0.032,,,,,,,,,,
 9,,,,,,,,,,,,,,,,,,,
 10,,,,,,,,,,,,,,,,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,409,409,409,410,410,410,411,411,411,412,412,412,413,413,413,414,414,414,
 1,   34,  0.130,  0.140,   63,  0.040,  0.024,   65,  0.140,  0.047,   35,  0.010,  0.004,   94,  0.090,  0.043,   96,  0.240,  0.119,
 2,   35,  0.000,  0.000,   64,  0.330,  0.201,   73,  0.000,  0.000,   65,  0.310,  0.112,   95,  0.090,  0.043,  106,  0.580,  0.287,
 3,   63,  0.110,  0.118,   65,  0.150,  0.091,   74,  0.200,  0.067,   66,  0.480,  0.173,  104,  0.100,  0.047,  107,  0.010,  0.005,
